,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Zonguldak,99,TR,1562873007,77,41.25,31.83,69.51,9.62
376,Comodoro Rivadavia,0,AR,1562873008,50,-45.87,-67.48,55.4,14.99
377,Sola,68,TZ,1562873010,37,-3.17,33.8,75.99,12.17
378,Nemuro,100,JP,1562873011,91,43.32,145.57,52.41,13.8
379,Klaksvik,83,FO,1562873012,100,62.23,-6.59,51.8,10.29
380,Nenjiang,95,CN,1562873013,89,49.17,125.23,64.47,4.03
381,Komsomolskiy,52,RU,1562873014,88,67.55,63.78,57.45,8.81
382,Karpathos,0,GR,1562873015,78,35.51,27.21,75.2,19.46
383,Saint Stephen,40,US,1562873017,57,45.7,-94.27,80.01,6.93
384,Praia da Vitoria,20,PT,1562873018,78,38.73,-27.07,75.0,3.06
385,Vidim,0,CZ,1562873019,52,50.47,14.53,70.0,9.17
386,Qaqortoq,20,GL,1562872969,62,60.72,-46.03,53.6,6.93
387,Copala,38,MX,1562873021,71,16.61,-98.97,83.73,9.46
388,Leningradskiy,33,RU,1562873023,68,69.38,178.42,49.35,8.68
389,Bow Island,75,CA,1562873024,30,49.87,-111.38,80.6,13.87
390,Kruisfontein,0,ZA,1562873025,83,-34.0,24.73,54.75,12.71
391,Khash,10,IR,1562873026,11,28.22,61.21,80.31,13.85
392,Morehead,1,US,1562873027,83,38.18,-83.43,82.99,8.05
393,Zaria,77,NG,1562872927,83,11.11,7.72,74.37,6.17
394,Salalah,90,OM,1562873030,88,17.01,54.1,80.6,5.82
395,Kovdor,30,RU,1562873031,60,67.56,30.47,48.99,8.39
396,Victoria Point,0,AU,1562873032,66,-27.58,153.3,53.01,3.36
397,Henties Bay,0,NA,1562873033,92,-22.12,14.28,55.0,5.99
398,San Cristobal,40,HN,1562872841,43,14.68,-86.92,86.07,8.66
399,Turukhansk,61,RU,1562872909,58,65.8,87.96,55.83,8.55
400,Inverness,75,GB,1562873037,100,57.48,-4.23,60.01,1.12
401,Banjar,95,ID,1562873038,97,-7.37,108.54,68.07,1.1
402,Aswan,0,EG,1562873039,21,24.09,32.9,95.0,9.17
403,Tripoli,40,GR,1562873040,61,37.51,22.37,80.01,10.29
404,Antofagasta,90,CL,1562873042,72,-23.65,-70.4,59.0,12.75
405,Egvekinot,0,RU,1562872869,28,66.32,-179.17,69.51,3.96
406,Westport,1,US,1562873044,58,41.14,-73.36,84.99,6.93
407,Ust-Barguzin,0,RU,1562873045,88,53.41,109.03,49.71,4.0
408,Aseri,56,EE,1562873046,61,59.45,26.87,51.87,5.93
409,Sur,74,OM,1562873048,49,22.57,59.53,86.79,9.82
410,San Benito Abad,91,CO,1562873049,73,8.93,-75.03,84.81,0.87
411,West Wendover,1,US,1562872964,14,40.74,-114.07,89.6,10.29
412,Alfatar,75,BG,1562873051,77,43.95,27.28,71.01,4.7
413,Dongsheng,97,CN,1562873053,71,29.72,112.52,76.17,4.47
414,Maputo,0,MZ,1562873054,82,-25.97,32.57,62.6,5.82
415,Lata,96,IN,1562873055,90,30.78,78.62,46.47,1.66
416,Taitung,5,TW,1562873056,82,22.76,121.15,62.49,5.64
417,Harper,1,US,1562873057,46,30.3,-99.24,91.99,9.17
418,Taoudenni,19,ML,1562873058,9,22.68,-3.98,109.83,9.24
419,Nouadhibou,10,MR,1562872885,68,20.93,-17.03,71.6,23.04
420,Bodden Town,20,KY,1562873061,70,19.28,-81.25,89.6,16.11
421,Shubarkuduk,50,KZ,1562873062,46,49.15,56.49,77.43,8.28
422,Ottumwa,75,US,1562872866,74,41.02,-92.41,82.4,9.17
423,Iqaluit,90,CA,1562873064,81,63.75,-68.52,44.6,6.93
424,Caucaia,20,BR,1562873066,62,-3.73,-38.66,86.0,14.99
425,Pacific Grove,1,US,1562873067,68,36.62,-121.92,84.2,10.29
426,Road Town,40,VG,1562873068,62,18.42,-64.62,87.8,9.17
427,Sao Felix do Xingu,18,BR,1562873069,43,-6.64,-51.99,88.77,6.33
428,Dehloran,0,IR,1562873070,14,32.69,47.27,86.61,9.62
429,Tura,23,RU,1562873072,92,64.27,100.22,49.53,2.64
430,Uyo,75,NG,1562873073,100,5.03,7.92,73.4,6.67
431,Ukiah,1,US,1562873074,37,39.15,-123.21,88.0,8.05
432,Popondetta,74,PG,1562873075,53,-8.77,148.24,58.89,5.44
433,San Patricio,12,PY,1562873076,59,-26.98,-56.83,77.61,5.99
434,Najran,40,SA,1562873078,14,17.54,44.22,93.2,6.93
435,Vostok,60,RU,1562872819,93,46.45,135.83,60.15,2.86
436,Ninh Binh,100,VN,1562873080,85,20.25,105.97,79.77,3.02
437,Piombino,0,IT,1562873081,69,42.93,10.52,84.0,5.82
438,Sal Rei,20,CV,1562873082,69,16.18,-22.92,78.8,12.75
439,Berlevag,0,NO,1562873083,81,70.86,29.09,48.2,9.17
440,Belyy Yar,0,RU,1562873085,82,53.6,91.39,60.8,8.95
441,Hervey Bay,0,AU,1562873086,81,-25.3,152.85,54.0,6.93
442,Birjand,0,IR,1562873087,17,32.86,59.22,84.2,13.87
443,Kieta,100,PG,1562873088,84,-6.22,155.63,78.69,11.99
444,Iquitos,75,PE,1562873089,319,-3.75,-73.25,42.8,4.7
445,Buchanan,40,LR,1562873091,94,5.88,-10.05,75.2,13.18
446,Cockburn Town,40,TC,1562873092,70,21.46,-71.14,89.6,9.17
447,Ryotsu,90,JP,1562873093,94,38.08,138.43,68.0,3.36
448,Sven,78,RU,1562873094,91,53.18,34.55,54.75,5.86
449,Teahupoo,40,PF,1562873095,69,-17.83,-149.27,82.4,9.17
450,Inuvik,75,CA,1562873097,61,68.36,-133.71,50.0,9.17
451,Sena Madureira,10,BR,1562873098,37,-9.07,-68.66,93.45,2.21
452,Shirokiy,53,RU,1562873099,80,53.87,39.17,57.99,4.5
453,Katherine,75,AU,1562872816,56,-14.47,132.26,73.4,8.05
454,Tahoua,0,NE,1562873101,39,14.89,5.26,95.0,13.87
455,Laguna,20,BZ,1562873102,70,16.17,-88.94,89.6,9.17
456,Zilair,17,RU,1562873104,78,52.23,57.44,59.25,3.71
457,Lages,75,BR,1562873062,99,-27.82,-50.33,73.0,1.01
458,Hami,100,CN,1562873106,32,42.84,93.51,79.23,22.66
459,Naze,75,NG,1562873108,94,5.43,7.07,75.2,2.24
460,Namatanai,100,PG,1562873109,82,-3.66,152.44,77.79,19.8
461,Kahramanmaras,40,TR,1562873110,51,37.58,36.93,80.6,14.99
462,Awjilah,0,LY,1562873111,13,29.14,21.3,97.23,11.05
463,Hovd,0,NO,1562873079,72,63.83,10.7,64.0,13.87
464,Sisimiut,44,GL,1562873113,92,66.94,-53.67,41.25,7.45
465,Vila Frescainha,0,PT,1562873115,69,41.54,-8.64,93.0,8.05
466,Ewa Beach,40,US,1562873116,65,21.32,-158.01,84.0,18.34
467,Bat Yam,0,IL,1562873117,65,32.02,34.75,82.99,4.7
468,Grindavik,75,IS,1562873118,76,63.84,-22.43,55.4,10.29
469,Aksu,0,KZ,1562873119,67,52.04,76.93,59.0,11.18
470,Magadan,0,RU,1562873121,80,59.56,150.8,52.23,4.36
471,Trincomalee,100,LK,1562873122,81,8.58,81.23,77.97,4.45
472,Tigre,0,AR,1562873123,63,-34.42,-58.58,64.99,8.05
473,Koslan,80,RU,1562873124,91,63.46,48.9,42.15,4.03
474,Filingue,86,NE,1562873125,23,14.35,3.32,100.11,8.21
475,Sadao,75,TH,1562873126,94,6.63,100.42,78.8,3.0
476,Viransehir,0,TR,1562873128,24,37.24,39.76,83.01,3.91
477,Weligama,59,LK,1562872945,80,5.97,80.42,83.19,11.95
478,Talara,0,PE,1562873130,290,-4.58,-81.27,62.6,17.22
479,Vila Franca do Campo,20,PT,1562873131,73,37.72,-25.43,73.4,11.41
480,Brae,75,GB,1562873132,87,60.4,-1.35,53.6,13.87
481,Oranjemund,0,ZA,1562872992,85,-28.55,16.43,56.55,6.96
482,Bonanza,81,NI,1562873135,86,14.03,-84.62,79.95,2.82
483,White Rock,90,CA,1562873136,82,49.02,-122.8,70.0,6.93
484,Barabai,49,ID,1562873137,96,-2.59,115.38,72.03,0.94
485,West Plains,75,US,1562873114,54,36.73,-91.85,86.0,4.7
486,Gat,3,SN,1562873139,69,14.69,-16.54,78.8,13.87
487,Batagay,22,RU,1562873141,69,67.65,134.64,61.23,0.56
488,Puri,67,ID,1562873142,89,-7.54,112.45,69.69,7.31
489,La Asuncion,100,AR,1562872953,37,-26.05,-65.39,68.07,6.67
490,Hualmay,66,PE,1562873144,87,-11.1,-77.61,62.49,12.35
491,Corumba,0,BR,1562873145,40,-19.0,-57.65,87.8,12.75
492,Loa Janan,19,ID,1562873146,99,-0.58,117.09,72.03,2.33
493,Kilindoni,17,TZ,1562873148,78,-7.91,39.67,78.33,19.95
494,Okhotsk,0,RU,1562873149,90,59.36,143.24,48.09,0.27
495,Kyzyl-Suu,0,KG,1562873150,63,42.34,78.0,68.97,3.76
496,Takoradi,100,GH,1562873151,79,4.89,-1.75,76.35,6.73
497,Nome,75,US,1562873152,66,30.04,-94.42,95.0,6.93
498,Ambon,0,FR,1562873154,64,47.55,-2.56,71.01,6.93
499,Burnie,99,AU,1562873155,84,-41.05,145.91,46.99,15.01
500,Heishan,80,CN,1562873156,91,41.69,122.12,65.37,3.33
501,Los Llanos de Aridane,20,ES,1562873157,69,28.66,-17.92,73.4,10.29
502,Sept-Iles,90,CA,1562873159,67,50.2,-66.38,59.0,10.29
503,Zabol,0,IR,1562873160,24,31.03,61.49,93.2,21.92
504,Vestmanna,73,FO,1562873161,100,62.16,-7.17,51.8,10.29
505,Nanakuli,1,US,1562873162,74,21.39,-158.15,84.0,8.05
506,Barahona,20,DO,1562873163,59,18.21,-71.1,91.4,16.11
507,Pitkyaranta,97,RU,1562873165,72,61.57,31.48,51.87,14.47
508,Ardakan,0,IR,1562873166,17,32.31,54.02,93.2,4.7
509,Samarai,100,PG,1562872985,84,-10.62,150.67,69.33,9.4
510,Paldiski,0,EE,1562873168,76,59.35,24.08,54.0,2.24
511,Abu Dhabi,0,AE,1562873115,63,24.47,54.37,93.2,2.24
512,Chernyshevskiy,42,RU,1562873171,68,63.01,112.47,61.05,2.59
513,Marathon,20,CA,1562873172,33,48.72,-86.38,73.4,11.41
514,Rochester,1,US,1562873174,47,44.02,-92.46,80.6,5.82
515,Moussoro,100,TD,1562873175,55,13.64,16.49,85.71,20.62
516,Yenagoa,100,NG,1562873176,92,4.92,6.26,75.09,6.17
517,Eureka,90,US,1562873075,93,40.8,-124.16,75.99,8.05
518,Sharkan,70,RU,1562873178,90,57.3,53.87,57.0,6.96
519,Havre,1,US,1562873180,26,48.55,-109.68,84.2,18.34
520,Machelen,0,BE,1562873181,56,50.91,4.44,73.99,5.82
521,Paramonga,58,PE,1562873182,86,-10.68,-77.82,62.31,11.59
522,Bambanglipuro,39,ID,1562872960,83,-7.95,110.28,74.91,13.98
523,Montepuez,55,MZ,1562873184,57,-13.13,39.0,64.11,3.42
524,Balkhash,0,KZ,1562873185,24,46.84,74.98,79.41,17.22
525,Carutapera,14,BR,1562873187,84,-1.2,-46.02,80.31,8.48
526,Price,1,US,1562873188,8,39.6,-110.81,89.6,5.82
527,Pyapon,100,MM,1562873189,85,16.29,95.68,80.49,6.42
528,Buta,99,CD,1562873190,96,2.79,24.73,70.95,1.99
